13/07/2011 6 1
14/07/2011 4 1
15/07/2011 2 6
16/07/2011 0 1
17/07/2011 4 1
18/07/2011 1 2
19/07/2011 2 0
20/07/2011 4 1
21/07/2011 1 1
22/07/2011 2 0
23/07/2011 1 0
24/07/2011 1 0
25/07/2011 0 0
26/07/2011 4 4
27/07/2011 3 3
28/07/2011 2 0
29/07/2011 1 1
30/07/2011 2 0
31/07/2011 3 2
01/08/2011 5 0
02/08/2011 2 0
03/08/2011 1 2
04/08/2011 0 2
05/08/2011 1 1
06/08/2011 1 0
07/08/2011 1 0
08/08/2011 5 1
09/08/2011 3 2
10/08/2011 1 0
11/08/2011 0 0
12/08/2011 1 3
13/08/2011 0 0
14/08/2011 4 0
15/08/2011 1 0
16/08/2011 0 3
17/08/2011 2 0
18/08/2011 0 0
19/08/2011 1 2
20/08/2011 0 0
21/08/2011 1 1
22/08/2011 0 0
23/08/2011 0 1
24/08/2011 1 1
25/08/2011 0 2
26/08/2011 0 0
27/08/2011 9 0
28/08/2011 4 0
29/08/2011 1 2
30/08/2011 2 1
31/08/2011 0 2
01/09/2011 0 1
02/09/2011 0 1
03/09/2011 2 0
04/09/2011 0 1
05/09/2011 0 1
06/09/2011 0 0
07/09/2011 0 0
08/09/2011 0 0
09/09/2011 0 0
10/09/2011 0 0
11/09/2011 1 0
12/09/2011 0 0
13/09/2011 1 2
14/09/2011 3 0
15/09/2011 1 1
16/09/2011 1 0
17/09/2011 1 1
18/09/2011 1 1
19/09/2011 1 0
20/09/2011 0 1
21/09/2011 2 0
22/09/2011 3 0
23/09/2011 0 0
